City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atar,MR,75.11,overcast clouds,20.5169,-13.0499,Oumou Elghoura
1,Arraial Do Cabo,BR,89.6,clear sky,-22.9661,-42.0278,Pousada Porto Praia
7,Nicoya,CR,89.6,clear sky,10.1483,-85.45200000000001,Guayacan Real
11,Beloha,MG,79.23,scattered clouds,-25.1667,45.05,
14,Butaritari,KI,80.28,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
16,Bandarbeyla,SO,75.61,broken clouds,9.4942,50.8122,JABIR HOTEL
17,Cape Town,ZA,75.2,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
18,Bambanglipuro,ID,76.69,overcast clouds,-7.95,110.2833,Puri Brata
19,Atuona,PF,78.13,clear sky,-9.8,-139.0333,Villa Enata
24,Kulhudhuffushi,MV,81.64,light rain,6.6221,73.07,Haajy Guest House 1
26,Avarua,CK,75.2,broken clouds,-21.2078,-159.775,Paradise Inn
28,Sao Joao Da Barra,BR,87.8,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
31,Cayenne,GF,86.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
33,San Andres,CO,86.0,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
34,Hithadhoo,MV,81.55,overcast clouds,-0.6,73.0833,Scoop Guest House
40,Vanimo,PG,79.5,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
41,Madimba,TZ,80.6,few clouds,-10.4,40.3333,
47,Olinda,BR,82.4,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
48,Cabo San Lucas,MX,78.01,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
49,Mantenopolis,BR,81.88,scattered clouds,-18.8625,-41.1228,Deed's Hotel
57,Puerto Ayora,EC,82.4,broken clouds,-0.7393,-90.3518,Castillo Galapagos
61,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
63,Rikitea,PF,78.44,few clouds,-23.1203,-134.9692,Pension Maro'i
68,Vila Velha,BR,88.0,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
83,Vaini,TO,78.8,light rain,-21.2,-175.2,Keleti Beach Resort
84,San Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Pirineos
85,Cotonou,BJ,86.0,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
86,Lucea,JM,82.99,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
90,Coro,VE,83.03,few clouds,11.4045,-69.6734,Federal
91,Alberdi,AR,86.0,clear sky,-32.8899,-60.6906,Green House.river
98,Souillac,MU,80.6,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
101,Rosarito,MX,80.6,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
106,Touros,BR,86.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
108,Cairns,AU,75.2,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
109,Tomatlan,MX,87.66,few clouds,19.9333,-105.25,Norma franco
111,Santa Maria,BR,85.77,overcast clouds,-29.6842,-53.8069,Hotel Morotin
113,La Romana,DO,84.2,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
115,Caravelas,BR,83.05,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
118,Poum,NC,81.5,light rain,-20.2333,164.0167,Gîte kajeon
119,Bengkulu,ID,76.62,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
125,Hervey Bay,AU,75.99,light rain,-25.2986,152.8535,Shelly Bay Resort
128,Kismayo,SO,77.7,broken clouds,-0.3582,42.5454,Agan-Hotel
129,Talara,PE,86.0,clear sky,-4.5772,-81.2719,Hostal Oro Negro
130,Jardim,BR,80.17,overcast clouds,-21.4803,-56.1381,Hotel Estância
131,Namatanai,PG,79.83,light rain,-3.6667,152.4333,Namatanai Hotel
133,Bubaque,GW,78.21,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
134,Codajas,BR,85.84,light rain,-3.8367,-62.0569,Hotel Tamires
138,Hualmay,PE,76.08,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
140,Florianopolis,BR,89.6,few clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
144,Comodoro Rivadavia,AR,77.0,clear sky,-45.8667,-67.5,Austral Hotel
152,Qandala,SO,75.67,clear sky,11.472000000000001,49.8728,
154,Mareeba,AU,75.2,light rain,-17.0,145.4333,Trinity Plains Tourist Park
161,Xuddur,SO,80.89,broken clouds,4.1213,43.8894,Banjanay Hotel
164,Port Blair,IN,79.36,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
179,Mbandaka,CD,75.16,overcast clouds,0.0487,18.2603,Guest House Epervier
186,Teluknaga,ID,81.0,haze,-6.0989,106.6381,Bale Ocasa hotel
187,Bambous Virieux,MU,81.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
199,Pisco,PE,77.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
200,Nouakchott,MR,78.8,sand,18.0858,-15.9785,Hôtel Iman
201,Portel,BR,88.27,scattered clouds,-1.9356,-50.8211,Kitnet do Marcos
209,Kupang,ID,79.12,light rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
210,Concordia,AR,77.0,broken clouds,-31.393,-58.0209,Palmar Hotel Casino
212,Noumea,NC,80.01,clear sky,-22.2763,166.4572,Hôtel Le Lagon
217,Vaitape,PF,81.05,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
218,Kununurra,AU,80.6,broken clouds,-15.7667,128.7333,Hotel Kununurra
219,Isla Vista,US,78.01,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
220,Isangel,VU,79.38,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
231,Auki,SB,78.17,overcast clouds,-8.7676,160.7034,Auki Motel
239,Antalaha,MG,78.76,light rain,-14.9003,50.2788,Hotel Vitasoa
242,Saldanha,ZA,78.8,clear sky,-33.0117,17.9442,Blue Bay Lodge
254,Quatre Cocos,MU,81.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
255,Cruzeiro Do Sul,BR,84.99,overcast clouds,-29.5128,-51.9853,Estrela Palace Hotel
257,Bowen,AU,77.0,light rain,-20.0167,148.2333,Castle Motor Lodge Motel
264,Poya,NC,77.56,overcast clouds,-21.35,165.15,
266,Lorengau,PG,83.03,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
267,Trairi,BR,86.36,few clouds,-3.2778,-39.2689,janelas do mar
269,Saint-Philippe,RE,82.4,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
270,Monrovia,LR,87.8,few clouds,6.3005,-10.7969,Sunset Inn
272,Carnarvon,AU,82.4,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
274,Tevaitoa,PF,80.96,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
281,Faanui,PF,81.05,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
293,Fomboni,KM,82.99,clear sky,-12.28,43.7425,Auberge les abou
294,Piacabucu,BR,83.44,clear sky,-10.4056,-36.4344,Piaçabuçu News
