City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atar,MR,20.5169,-13.0499,75.11,15,100,14.74,overcast clouds
1,Arraial Do Cabo,BR,-22.9661,-42.0278,89.6,51,0,19.57,clear sky
2,Richards Bay,ZA,-28.783,32.0377,74.23,80,66,6.29,light rain
3,Kahului,US,20.8947,-156.47,71.6,83,40,6.91,scattered clouds
4,Jackson,US,42.4165,-122.8345,41.0,93,90,8.05,fog
5,New Norfolk,AU,-42.7826,147.0587,60.01,76,98,5.01,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,51.8,62,90,6.24,drizzle
7,Nicoya,CR,10.1483,-85.452,89.6,45,0,10.36,clear sky
8,Hermanus,ZA,-34.4187,19.2345,73.0,66,9,4.0,clear sky
9,Kendal,GB,54.3268,-2.7476,43.0,94,100,1.99,overcast clouds
10,Ilulissat,GL,69.2167,-51.1,21.2,68,75,10.36,snow
11,Beloha,MG,-25.1667,45.05,79.23,78,47,3.58,scattered clouds
12,Brae,GB,60.3964,-1.353,44.6,87,40,24.16,scattered clouds
13,Bredasdorp,ZA,-34.5322,20.0403,71.6,68,2,13.8,clear sky
14,Butaritari,KI,3.0707,172.7902,80.28,76,45,19.08,scattered clouds
15,Mataura,NZ,-46.1927,168.8643,42.8,93,74,4.07,broken clouds
16,Bandarbeyla,SO,9.4942,50.8122,75.61,74,73,14.74,broken clouds
17,Cape Town,ZA,-33.9258,18.4232,75.2,53,0,18.41,clear sky
18,Bambanglipuro,ID,-7.95,110.2833,76.69,84,99,4.7,overcast clouds
19,Atuona,PF,-9.8,-139.0333,78.13,77,3,15.66,clear sky
20,Punta Arenas,CL,-53.15,-70.9167,53.6,94,90,14.97,light rain
21,Saskylakh,RU,71.9167,114.0833,-28.64,84,66,5.99,broken clouds
22,Hilo,US,19.7297,-155.09,69.8,83,90,5.75,overcast clouds
23,Castro,BR,-24.7911,-50.0119,70.36,91,96,13.02,overcast clouds
24,Kulhudhuffushi,MV,6.6221,73.07,81.64,80,10,10.65,light rain
25,Butembo,CD,0.15,29.2833,60.53,83,23,1.92,few clouds
26,Avarua,CK,-21.2078,-159.775,75.2,94,51,2.3,broken clouds
27,Barrow,US,71.2906,-156.7887,-0.4,71,90,17.27,overcast clouds
28,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.8,45,0,18.41,clear sky
29,Adrar,MR,20.5022,-10.0711,69.4,20,77,13.18,broken clouds
30,Youghal,IE,51.95,-7.8506,44.01,87,75,5.75,broken clouds
31,Cayenne,GF,4.9333,-52.3333,86.0,66,75,13.8,broken clouds
32,Sitka,US,57.0531,-135.33,42.8,81,90,9.22,light rain
33,San Andres,CO,12.5847,-81.7006,86.0,70,40,12.66,scattered clouds
34,Hithadhoo,MV,-0.6,73.0833,81.55,70,92,5.41,overcast clouds
35,Sorland,NO,67.667,12.6934,35.6,80,75,8.05,broken clouds
36,Khani,GE,41.9563,42.9566,50.0,87,90,5.75,overcast clouds
37,Bethel,US,41.3712,-73.414,41.0,48,90,12.66,overcast clouds
38,Bam,IR,29.106,58.357,59.07,35,0,10.49,clear sky
39,Tahta,EG,26.7693,31.5021,62.6,31,0,6.91,clear sky
40,Vanimo,PG,-2.6741,141.3028,79.5,84,92,6.06,moderate rain
41,Madimba,TZ,-10.4,40.3333,80.6,89,20,9.22,few clouds
42,Melville,US,40.7934,-73.4151,44.01,45,40,16.11,scattered clouds
43,Nome,US,64.5011,-165.4064,6.8,72,1,9.22,clear sky
